"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 24 05:21:40 GMT 2024","Thu Oct 24 05:25:24 GMT 2024","224285","","Home Page Tests","","","","should see required web elements on Home Page",""
"passed","Thu Oct 24 05:25:29 GMT 2024","Thu Oct 24 05:25:32 GMT 2024","2827","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Oct 24 05:25:24 GMT 2024","Thu Oct 24 05:25:25 GMT 2024","1066","","Home Page Tests","","","","should search a listing on Home Page",""
"broken","Thu Oct 24 05:25:32 GMT 2024","Thu Oct 24 05:25:45 GMT 2024","12918","","Sign in Tests","","","","should login successfuly with valid email and password",""
"broken","Thu Oct 24 05:25:45 GMT 2024","Thu Oct 24 05:25:56 GMT 2024","10915","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Oct 24 05:25:27 GMT 2024","Thu Oct 24 05:25:29 GMT 2024","1677","","Sign in Tests","","","","should get error message when user email is invalid",""
