"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","955","should search a listing on Home Page","","Thu Nov 28 05:24:00 GMT 2024","passed","Thu Nov 28 05:24:01 GMT 2024","","Home Page Tests","",""
"","10864","should get error message when user email is invalid","","Thu Nov 28 05:24:03 GMT 2024","broken","Thu Nov 28 05:24:14 GMT 2024","","Sign in Tests","",""
"","41620","should see required web elements on Home Page","","Thu Nov 28 05:23:18 GMT 2024","passed","Thu Nov 28 05:24:00 GMT 2024","","Home Page Tests","",""
"","10731","should get error message when password is invalid","","Thu Nov 28 05:24:14 GMT 2024","broken","Thu Nov 28 05:24:25 GMT 2024","","Sign in Tests","",""
"","10800","should sign up new user","","Thu Nov 28 05:24:37 GMT 2024","broken","Thu Nov 28 05:24:48 GMT 2024","","Sign in Tests","",""
"","12797","should login successfuly with valid email and password","","Thu Nov 28 05:24:25 GMT 2024","broken","Thu Nov 28 05:24:37 GMT 2024","","Sign in Tests","",""
