"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 17 05:23:21 GMT 2024","Thu Oct 17 05:23:24 GMT 2024","2897","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Oct 17 05:22:00 GMT 2024","Thu Oct 17 05:23:16 GMT 2024","76462","","Home Page Tests","","","","should see required web elements on Home Page",""
"broken","Thu Oct 17 05:23:37 GMT 2024","Thu Oct 17 05:23:48 GMT 2024","10882","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Oct 17 05:23:20 GMT 2024","Thu Oct 17 05:23:21 GMT 2024","1437","","Sign in Tests","","","","should get error message when user email is invalid",""
"broken","Thu Oct 17 05:23:24 GMT 2024","Thu Oct 17 05:23:37 GMT 2024","12907","","Sign in Tests","","","","should login successfuly with valid email and password",""
"passed","Thu Oct 17 05:23:16 GMT 2024","Thu Oct 17 05:23:17 GMT 2024","1189","","Home Page Tests","","","","should search a listing on Home Page",""
