"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Aug 01 05:20:42 GMT 2024","Thu Aug 01 05:20:44 GMT 2024","1245","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Aug 01 05:19:25 GMT 2024","Thu Aug 01 05:20:37 GMT 2024","72893","","Home Page Tests","","","","should see required web elements on Home Page",""
"passed","Thu Aug 01 05:20:41 GMT 2024","Thu Aug 01 05:20:42 GMT 2024","1439","","Sign in Tests","","","","should get error message when user email is invalid",""
"passed","Thu Aug 01 05:20:56 GMT 2024","Thu Aug 01 05:21:03 GMT 2024","6715","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Aug 01 05:20:37 GMT 2024","Thu Aug 01 05:20:39 GMT 2024","1142","","Home Page Tests","","","","should search a listing on Home Page",""
"broken","Thu Aug 01 05:20:44 GMT 2024","Thu Aug 01 05:20:56 GMT 2024","12796","","Sign in Tests","","","","should login successfuly with valid email and password",""
