"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Jun 27 05:21:50 GMT 2024","Thu Jun 27 05:21:56 GMT 2024","6544","","Sign in Tests","","","","should sign up new user",""
"failed","Thu Jun 27 05:21:36 GMT 2024","Thu Jun 27 05:21:37 GMT 2024","1289","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Jun 27 05:21:31 GMT 2024","Thu Jun 27 05:21:32 GMT 2024","1042","","Home Page Tests","","","","should search a listing on Home Page",""
"broken","Thu Jun 27 05:21:37 GMT 2024","Thu Jun 27 05:21:50 GMT 2024","12830","","Sign in Tests","","","","should login successfuly with valid email and password",""
"passed","Thu Jun 27 05:20:39 GMT 2024","Thu Jun 27 05:21:31 GMT 2024","52023","","Home Page Tests","","","","should see required web elements on Home Page",""
"passed","Thu Jun 27 05:21:34 GMT 2024","Thu Jun 27 05:21:36 GMT 2024","1352","","Sign in Tests","","","","should get error message when user email is invalid",""
