"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Oct 03 05:21:33 GMT 2024","Thu Oct 03 05:23:15 GMT 2024","101734","","Home Page Tests","","","","should see required web elements on Home Page",""
"broken","Thu Oct 03 05:23:21 GMT 2024","Thu Oct 03 05:23:34 GMT 2024","12789","","Sign in Tests","","","","should login successfuly with valid email and password",""
"passed","Thu Oct 03 05:23:34 GMT 2024","Thu Oct 03 05:23:40 GMT 2024","6447","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Oct 03 05:23:15 GMT 2024","Thu Oct 03 05:23:16 GMT 2024","941","","Home Page Tests","","","","should search a listing on Home Page",""
"passed","Thu Oct 03 05:23:18 GMT 2024","Thu Oct 03 05:23:20 GMT 2024","1322","","Sign in Tests","","","","should get error message when user email is invalid",""
"failed","Thu Oct 03 05:23:20 GMT 2024","Thu Oct 03 05:23:21 GMT 2024","1219","","Sign in Tests","","","","should get error message when password is invalid",""
