"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Thu Sep 19 05:22:17 GMT 2024","Thu Sep 19 05:22:18 GMT 2024","1216","","Home Page Tests","","","","should search a listing on Home Page",""
"broken","Thu Sep 19 05:22:24 GMT 2024","Thu Sep 19 05:22:37 GMT 2024","13063","","Sign in Tests","","","","should login successfuly with valid email and password",""
"passed","Thu Sep 19 05:22:21 GMT 2024","Thu Sep 19 05:22:22 GMT 2024","1701","","Sign in Tests","","","","should get error message when user email is invalid",""
"failed","Thu Sep 19 05:22:22 GMT 2024","Thu Sep 19 05:22:24 GMT 2024","1517","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Sep 19 05:21:05 GMT 2024","Thu Sep 19 05:22:17 GMT 2024","72138","","Home Page Tests","","","","should see required web elements on Home Page",""
"broken","Thu Sep 19 05:22:37 GMT 2024","Thu Sep 19 05:22:54 GMT 2024","17099","","Sign in Tests","","","","should sign up new user",""
