"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Jul 18 05:20:24 GMT 2024","Thu Jul 18 05:20:25 GMT 2024","1210","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Jul 18 05:20:38 GMT 2024","Thu Jul 18 05:20:44 GMT 2024","5985","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Jul 18 05:20:23 GMT 2024","Thu Jul 18 05:20:24 GMT 2024","1401","","Sign in Tests","","","","should get error message when user email is invalid",""
"passed","Thu Jul 18 05:19:18 GMT 2024","Thu Jul 18 05:20:19 GMT 2024","61679","","Home Page Tests","","","","should see required web elements on Home Page",""
"passed","Thu Jul 18 05:20:19 GMT 2024","Thu Jul 18 05:20:20 GMT 2024","981","","Home Page Tests","","","","should search a listing on Home Page",""
"broken","Thu Jul 18 05:20:25 GMT 2024","Thu Jul 18 05:20:38 GMT 2024","12797","","Sign in Tests","","","","should login successfuly with valid email and password",""
