"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Oct 10 05:23:07 GMT 2024","Thu Oct 10 05:23:08 GMT 2024","1285","","Sign in Tests","","","","should get error message when password is invalid",""
"broken","Thu Oct 10 05:23:21 GMT 2024","Thu Oct 10 05:23:32 GMT 2024","10850","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Oct 10 05:23:06 GMT 2024","Thu Oct 10 05:23:07 GMT 2024","1341","","Sign in Tests","","","","should get error message when user email is invalid",""
"passed","Thu Oct 10 05:21:50 GMT 2024","Thu Oct 10 05:23:02 GMT 2024","72176","","Home Page Tests","","","","should see required web elements on Home Page",""
"passed","Thu Oct 10 05:23:02 GMT 2024","Thu Oct 10 05:23:03 GMT 2024","1028","","Home Page Tests","","","","should search a listing on Home Page",""
"broken","Thu Oct 10 05:23:08 GMT 2024","Thu Oct 10 05:23:21 GMT 2024","12863","","Sign in Tests","","","","should login successfuly with valid email and password",""
