"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","10897","should get error message when user email is invalid","","Thu Dec 12 05:24:07 GMT 2024","broken","Thu Dec 12 05:24:18 GMT 2024","","Sign in Tests","",""
"","1007","should search a listing on Home Page","","Thu Dec 12 05:24:04 GMT 2024","passed","Thu Dec 12 05:24:05 GMT 2024","","Home Page Tests","",""
"","12848","should login successfuly with valid email and password","","Thu Dec 12 05:24:29 GMT 2024","broken","Thu Dec 12 05:24:42 GMT 2024","","Sign in Tests","",""
"","10833","should sign up new user","","Thu Dec 12 05:24:42 GMT 2024","broken","Thu Dec 12 05:24:53 GMT 2024","","Sign in Tests","",""
"","41698","should see required web elements on Home Page","","Thu Dec 12 05:23:22 GMT 2024","passed","Thu Dec 12 05:24:04 GMT 2024","","Home Page Tests","",""
"","10779","should get error message when password is invalid","","Thu Dec 12 05:24:18 GMT 2024","broken","Thu Dec 12 05:24:29 GMT 2024","","Sign in Tests","",""
