"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","103236","should see required web elements on Home Page","","Thu Oct 31 05:22:53 GMT 2024","passed","Thu Oct 31 05:24:36 GMT 2024","","Home Page Tests","",""
"","10863","should get error message when password is invalid","","Thu Oct 31 05:24:51 GMT 2024","broken","Thu Oct 31 05:25:01 GMT 2024","","Sign in Tests","",""
"","12963","should login successfuly with valid email and password","","Thu Oct 31 05:25:01 GMT 2024","broken","Thu Oct 31 05:25:14 GMT 2024","","Sign in Tests","",""
"","10982","should get error message when user email is invalid","","Thu Oct 31 05:24:40 GMT 2024","broken","Thu Oct 31 05:24:51 GMT 2024","","Sign in Tests","",""
"","1142","should search a listing on Home Page","","Thu Oct 31 05:24:36 GMT 2024","passed","Thu Oct 31 05:24:37 GMT 2024","","Home Page Tests","",""
"","11000","should sign up new user","","Thu Oct 31 05:25:14 GMT 2024","broken","Thu Oct 31 05:25:25 GMT 2024","","Sign in Tests","",""
