"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"failed","Thu Sep 26 05:22:52 GMT 2024","Thu Sep 26 05:22:53 GMT 2024","1217","","Sign in Tests","","","","should get error message when password is invalid",""
"passed","Thu Sep 26 05:21:35 GMT 2024","Thu Sep 26 05:22:47 GMT 2024","71998","","Home Page Tests","","","","should see required web elements on Home Page",""
"broken","Thu Sep 26 05:22:53 GMT 2024","Thu Sep 26 05:23:06 GMT 2024","12780","","Sign in Tests","","","","should login successfuly with valid email and password",""
"passed","Thu Sep 26 05:22:47 GMT 2024","Thu Sep 26 05:22:48 GMT 2024","1044","","Home Page Tests","","","","should search a listing on Home Page",""
"passed","Thu Sep 26 05:23:06 GMT 2024","Thu Sep 26 05:23:12 GMT 2024","6564","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Sep 26 05:22:50 GMT 2024","Thu Sep 26 05:22:52 GMT 2024","1416","","Sign in Tests","","","","should get error message when user email is invalid",""
