"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"broken","Thu Aug 29 05:21:39 GMT 2024","Thu Aug 29 05:21:54 GMT 2024","15230","","Sign in Tests","","","","should sign up new user",""
"passed","Thu Aug 29 05:21:20 GMT 2024","Thu Aug 29 05:21:21 GMT 2024","1044","","Home Page Tests","","","","should search a listing on Home Page",""
"passed","Thu Aug 29 05:20:17 GMT 2024","Thu Aug 29 05:21:20 GMT 2024","62966","","Home Page Tests","","","","should see required web elements on Home Page",""
"passed","Thu Aug 29 05:21:24 GMT 2024","Thu Aug 29 05:21:25 GMT 2024","1305","","Sign in Tests","","","","should get error message when user email is invalid",""
"failed","Thu Aug 29 05:21:25 GMT 2024","Thu Aug 29 05:21:26 GMT 2024","1214","","Sign in Tests","","","","should get error message when password is invalid",""
"broken","Thu Aug 29 05:21:26 GMT 2024","Thu Aug 29 05:21:39 GMT 2024","12745","","Sign in Tests","","","","should login successfuly with valid email and password",""
