"DESCRIPTION","DURATION IN MS","NAME","PARENT SUITE","START TIME","STATUS","STOP TIME","SUB SUITE","SUITE","TEST CLASS","TEST METHOD"
"","41810","should see required web elements on Home Page","","Thu Dec 05 05:23:19 GMT 2024","passed","Thu Dec 05 05:24:01 GMT 2024","","Home Page Tests","",""
"","10885","should get error message when user email is invalid","","Thu Dec 05 05:24:05 GMT 2024","broken","Thu Dec 05 05:24:15 GMT 2024","","Sign in Tests","",""
"","10797","should get error message when password is invalid","","Thu Dec 05 05:24:15 GMT 2024","broken","Thu Dec 05 05:24:26 GMT 2024","","Sign in Tests","",""
"","12848","should login successfuly with valid email and password","","Thu Dec 05 05:24:26 GMT 2024","broken","Thu Dec 05 05:24:39 GMT 2024","","Sign in Tests","",""
"","1035","should search a listing on Home Page","","Thu Dec 05 05:24:01 GMT 2024","passed","Thu Dec 05 05:24:02 GMT 2024","","Home Page Tests","",""
"","10802","should sign up new user","","Thu Dec 05 05:24:39 GMT 2024","broken","Thu Dec 05 05:24:50 GMT 2024","","Sign in Tests","",""
